additionalId,       name, pinji,  affixGroup, color, pinji2, wg, ng, wf, nf, , , ld, qj, gg, dc, sf, rj, , qx, nx, , , , , mz, gd, hx, hs, , , , , , , , , , , , , , gongliOffset,   ,  ,   propsDesc,  ,jiangxin,    ,    ,  ,  ,  ,  ,
1001061, 主武器库力道6低级, 6, 1001, 1, 6, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 淬力：力道+37, 0, 11, 106, 206, 0, 0, 0, 0, 
1001062, 主武器库力道6中级, 6, 1001, 1, 6, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 淬力：力道+42, 0, 14, 106, 206, 0, 0, 0, 0, 
1001071, 主武器库力道7低级, 7, 1001, 1, 7, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 淬力：力道+43, 0, 15, 107, 207, 0, 0, 0, 0, 
1001072, 主武器库力道7中级, 7, 1001, 1, 7, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 淬力：力道+50, 0, 16, 107, 207, 0, 0, 0, 0, 
1001081, 主武器库力道8低级, 8, 0, 1, 8, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 淬力：力道+51, 0, 15, 108, 208, 0, 0, 0, 0, 
1001082, 主武器库力道8中级, 8, 0, 1, 8, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 淬力：力道+58, 0, 19, 108, 208, 0, 0, 0, 0, 
1001091, 主武器库力道9低级, 9, 0, 1, 9, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 淬力：力道+59, 0, 17, 109, 209, 0, 0, 0, 0, 
1001092, 主武器库力道9中级, 9, 0, 1, 9, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 淬力：力道+66, 0, 21, 109, 209, 0, 0, 0, 0, 
1001101, 主武器库力道10低级, 10, 0, 1, 10, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 淬力：力道+67, 0, 19, 110, 210, 0, 0, 0, 0, 
1001102, 主武器库力道10中级, 10, 0, 1, 10, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 淬力：力道+72, 0, 24, 110, 210, 0, 0, 0, 0, 
1002011, 主武器库气劲1低级, 1, 1002, 1, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+4, 0, 1, 101, 201, 0, 0, 0, 0, 
1002012, 主武器库气劲1中级, 1, 1002, 1, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+6, 0, 2, 101, 201, 0, 0, 0, 0, 
1002021, 主武器库气劲2低级, 2, 1002, 1, 2, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+10, 0, 3, 102, 202, 0, 0, 0, 0, 
1002022, 主武器库气劲2中级, 2, 1002, 1, 2, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+12, 0, 4, 102, 202, 0, 0, 0, 0, 
1002031, 主武器库气劲3低级, 3, 1002, 1, 3, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+16, 0, 5, 103, 203, 0, 0, 0, 0, 
1002032, 主武器库气劲3中级, 3, 1002, 1, 3, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+20, 0, 6, 103, 203, 0, 0, 0, 0, 
1002041, 主武器库气劲4低级, 4, 1002, 1, 4, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+22, 0, 7, 104, 204, 0, 0, 0, 0, 
1002042, 主武器库气劲4中级, 4, 1002, 1, 4, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+28, 0, 8, 104, 204, 0, 0, 0, 0, 
1002051, 主武器库气劲5低级, 5, 1002, 1, 5, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+29, 0, 9, 105, 205, 0, 0, 0, 0, 
1002052, 主武器库气劲5中级, 5, 1002, 1, 5, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+36, 0, 10, 105, 205, 0, 0, 0, 0, 
1002061, 主武器库气劲6低级, 6, 1002, 1, 6, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+37, 0, 11, 106, 206, 0, 0, 0, 0, 
1002062, 主武器库气劲6中级, 6, 1002, 1, 6, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+42, 0, 14, 106, 206, 0, 0, 0, 0, 
1002071, 主武器库气劲7低级, 7, 1002, 1, 7, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+43, 0, 15, 107, 207, 0, 0, 0, 0, 
1002072, 主武器库气劲7中级, 7, 1002, 1, 7, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+50, 0, 16, 107, 207, 0, 0, 0, 0, 
1002081, 主武器库气劲8低级, 8, 0, 1, 8, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+51, 0, 15, 108, 208, 0, 0, 0, 0, 
1002082, 主武器库气劲8中级, 8, 0, 1, 8, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+58, 0, 19, 108, 208, 0, 0, 0, 0, 
1002091, 主武器库气劲9低级, 9, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+59, 0, 17, 109, 209, 0, 0, 0, 0, 
1002092, 主武器库气劲9中级, 9, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+66, 0, 21, 109, 209, 0, 0, 0, 0, 
1002101, 主武器库气劲10低级, 10, 0, 1, 10, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+67, 0, 19, 110, 210, 0, 0, 0, 0, 
1002102, 主武器库气劲10中级, 10, 0, 1, 10, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 益气：气劲+72, 0, 24, 110, 210, 0, 0, 0, 0, 
1003011, 主武器库根骨1低级, 1, 1003, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+4, 0, 1, 101, 201, 0, 0, 0, 0, 
1003012, 主武器库根骨1中级, 1, 1003, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+6, 0, 2, 101, 201, 0, 0, 0, 0, 
1003021, 主武器库根骨2低级, 2, 1003, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+10, 0, 3, 102, 202, 0, 0, 0, 0, 
1003022, 主武器库根骨2中级, 2, 1003, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+12, 0, 4, 102, 202, 0, 0, 0, 0, 
1003031, 主武器库根骨3低级, 3, 1003, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+16, 0, 5, 103, 203, 0, 0, 0, 0, 
1003032, 主武器库根骨3中级, 3, 1003, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+20, 0, 6, 103, 203, 0, 0, 0, 0, 
1003041, 主武器库根骨4低级, 4, 1003, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+22, 0, 7, 104, 204, 0, 0, 0, 0, 
1003042, 主武器库根骨4中级, 4, 1003, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+28, 0, 8, 104, 204, 0, 0, 0, 0, 
1003051, 主武器库根骨5低级, 5, 1003, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+29, 0, 9, 105, 205, 0, 0, 0, 0, 
1003052, 主武器库根骨5中级, 5, 1003, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+36, 0, 10, 105, 205, 0, 0, 0, 0, 
1003061, 主武器库根骨6低级, 6, 1003, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+37, 0, 11, 106, 206, 0, 0, 0, 0, 
1003062, 主武器库根骨6中级, 6, 1003, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+42, 0, 14, 106, 206, 0, 0, 0, 0, 
1003071, 主武器库根骨7低级, 7, 1003, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+43, 0, 15, 107, 207, 0, 0, 0, 0, 
1003072, 主武器库根骨7中级, 7, 1003, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+50, 0, 16, 107, 207, 0, 0, 0, 0, 
1003081, 主武器库根骨8低级, 8, 0, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+51, 0, 15, 108, 208, 0, 0, 0, 0, 
1003082, 主武器库根骨8中级, 8, 0, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+58, 0, 19, 108, 208, 0, 0, 0, 0, 
1003091, 主武器库根骨9低级, 9, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+59, 0, 17, 109, 209, 0, 0, 0, 0, 
1003092, 主武器库根骨9中级, 9, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+66, 0, 21, 109, 209, 0, 0, 0, 0, 
1003101, 主武器库根骨10低级, 10, 0, 1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+67, 0, 19, 110, 210, 0, 0, 0, 0, 
1003102, 主武器库根骨10中级, 10, 0, 1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 养髓：根骨+72, 0, 24, 110, 210, 0, 0, 0, 0, 
1004011, 主武器库洞察1低级, 1, 1004, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 慧观：洞察+4, 0, 1, 101, 201, 0, 0, 0, 0, 
1004012, 主武器库洞察1中级, 1, 1004, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 慧观：洞察+6, 0, 2, 101, 201, 0, 0, 0, 0, 
1004021, 主武器库洞察2低级, 2, 1004, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 慧观：洞察+10, 0, 3, 102, 202, 0, 0, 0, 0, 
1004022, 主武器库洞察2中级, 2, 1004, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 慧观：洞察+12, 0, 4, 102, 202, 0, 0, 0, 0, 
1004031, 主武器库洞察3低级, 3, 1004, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 慧观：洞察+16, 0, 5, 103, 203, 0, 0, 0, 0, 
1004032, 主武器库洞察3中级, 3, 1004, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 慧观：洞察+20, 0, 6, 103, 203, 0, 0, 0, 0, 
1004041, 主武器库洞察4低级, 4, 1004, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 慧观：洞察+22, 0, 7, 104, 204, 0, 0, 0, 0, 
1004042, 主武器库洞察4中级, 4, 1004, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 慧观：洞察+28, 0, 8, 104, 204, 0, 0, 0, 0, 
1004051, 主武器库洞察5低级, 5, 1004, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 慧观：洞察+29, 0, 9, 105, 205, 0, 0, 0, 0, 
1004052, 主武器库洞察5中级, 5, 1004, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 慧观：洞察+36, 0, 10, 105, 205, 0, 0, 0, 0, 
1004061, 主武器库洞察6低级, 6, 1004, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 慧观：洞察+37, 0, 11, 106, 206, 0, 0, 0, 0, 
1004062, 主武器库洞察6中级, 6, 1004, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 慧观：洞察+42, 0, 14, 106, 206, 0, 0, 0, 0, 
