id,quality,name,evaluationLV,limitLVMin,limitLVMax,menpai,desc,bgDesc,jiangxin,enhanceAble,jiangxinAble,tejiAble,durable,wgMin,wgMax,ngMin,ngMax,wf,nf,dingliATK,dingliDEF,ld,qj,gg,dc,sf,rj,gongli,zhanliOffset,dingli,qx,mz,gd,hx,hs,chaizhao,yushang,poshang,liaoshang,repairCost,icon,xxx3d_str,catDesc,taozhuangId,equipType,equipPos
6101014,1,破日,60,51,0,1,本装备为PVP装,,4,1,1,1,1200,72,89,0,0,0,0,0,0,16,0,0,17,0,0,8,0,0,0,0,0,0,0,4,0,0,0,144,icon_64_equip_main_TB_Jian_0014,Weapon_TB_M_Main_1014,制造装,0,2,ZhuWuQi
6101015,1,葬月,70,61,0,1,本装备为PVP装,,6,1,1,1,1200,96,117,0,0,0,0,0,0,20,0,0,21,0,0,12,0,0,0,0,0,0,0,6,0,0,0,192,icon_64_equip_main_TB_Jian_0015,Weapon_TB_M_Main_1015,制造装,0,2,ZhuWuQi
6101016,1,碧水,80,70,0,1,本装备为PVP装,,8,1,1,1,1200,125,153,0,0,0,0,0,0,23,0,0,24,0,0,22,0,0,0,0,0,0,0,11,0,0,0,240,icon_64_equip_main_TB_Jian_0016,Weapon_TB_M_Main_1016,制造装,0,2,ZhuWuQi
6101017,1,履霜,90,70,0,1,本装备为PVP装,,9,1,1,1,1200,161,197,0,0,0,0,0,0,26,0,0,28,0,0,30,0,0,0,0,0,0,0,15,0,0,0,300,icon_64_equip_main_TB_Jian_0017,Weapon_TB_M_Main_1017,制造装,0,2,ZhuWuQi
6101018,2,游龙剑,45,31,0,1,本装备为PVP装,,2,1,1,1,1500,47,57,0,0,0,0,0,0,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,icon_64_equip_main_TB_Jian_0012,Weapon_TB_M_Main_1012,制造装,0,2,ZhuWuQi
6101019,2,飞凤剑,55,41,0,1,本装备为PVP装,,2,1,1,1,1500,63,77,0,0,0,0,0,0,15,0,0,15,0,0,6,0,0,0,0,0,0,0,3,0,0,0,216,icon_64_equip_main_TB_Jian_0013,Weapon_TB_M_Main_1013,制造装,0,2,ZhuWuQi
6101020,2,舞阳,65,51,0,1,本装备为PVP装,,4,1,1,1,1500,83,102,0,0,0,0,0,0,18,0,0,19,0,0,10,0,0,0,0,0,0,0,5,0,0,0,288,icon_64_equip_main_TB_Jian_0014,Weapon_TB_M_Main_1014,制造装,0,2,ZhuWuQi
6101021,2,沧月,75,61,0,1,本装备为PVP装,,6,1,1,1,1500,108,133,0,0,0,0,0,0,21,0,0,23,0,0,16,0,0,0,0,0,0,0,8,0,0,0,384,icon_64_equip_main_TB_Jian_0015,Weapon_TB_M_Main_1015,制造装,0,2,ZhuWuQi
6101022,2,秋水,85,70,0,1,本装备为PVP装,,8,1,1,1,1500,142,174,0,0,0,0,0,0,24,0,0,26,0,0,26,0,0,0,0,0,0,0,13,0,0,0,480,icon_64_equip_main_TB_Jian_0016,Weapon_TB_M_Main_1016,制造装,0,2,ZhuWuQi
6101023,2,雪魄,95,70,0,1,本装备为PVP装,,9,1,1,1,1500,180,221,0,0,0,0,0,0,28,0,0,29,0,0,34,0,0,0,0,0,0,0,17,0,0,0,600,icon_64_equip_main_TB_Jian_0017,Weapon_TB_M_Main_1017,制造装,0,2,ZhuWuQi
6101024,3,舞凤剑,63,41,0,1,本装备为PVP装,,2,1,1,1,1800,79,97,0,0,0,0,0,0,17,0,0,18,0,0,8,0,0,0,0,0,0,0,4,0,0,0,432,icon_64_equip_main_TB_Jian_0013,Weapon_TB_M_Main_1013,制造装,0,2,ZhuWuQi
6101025,3,日冕,73,51,0,1,本装备为PVP装,,4,1,1,1,1800,103,127,0,0,0,0,0,0,21,0,0,22,0,0,14,0,0,0,0,0,0,0,7,0,0,0,576,icon_64_equip_main_TB_Jian_0014,Weapon_TB_M_Main_1014,制造装,0,2,ZhuWuQi
6101026,3,月华,83,61,0,1,本装备为PVP装,,6,1,1,1,1800,135,166,0,0,0,0,0,0,24,0,0,25,0,0,24,0,0,0,0,0,0,0,12,0,0,0,768,icon_64_equip_main_TB_Jian_0015,Weapon_TB_M_Main_1015,制造装,0,2,ZhuWuQi
6101027,3,沧海,93,70,0,1,本装备为PVP装,,8,1,1,1,1800,172,211,0,0,0,0,0,0,27,0,0,29,0,0,32,0,0,0,0,0,0,0,16,0,0,0,960,icon_64_equip_main_TB_Jian_0016,Weapon_TB_M_Main_1016,制造装,0,2,ZhuWuQi
6101028,3,冰心,103,70,0,1,本装备为PVP装,,9,1,1,1,1800,211,259,0,0,0,0,0,0,30,0,0,32,0,0,38,0,0,0,0,0,0,0,19,0,0,0,1200,icon_64_equip_main_TB_Jian_0017,Weapon_TB_M_Main_1017,制造装,0,2,ZhuWuQi
6101029,3,银蛇剑,47,30,0,1,,,2,1,1,1,1500,50,61,0,0,0,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,icon_64_equip_main_TB_Jian_0006,Weapon_TB_M_Main_1006,普通话本装（不再产出）,0,2,ZhuWuQi
6101030,3,龙泉剑,62,41,0,1,本装备为PVP装,,2,1,1,1,1800,77,95,0,0,0,0,0,0,17,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,icon_64_equip_main_TB_Jian_0007,Weapon_TB_M_Main_1007,普通话本装（不再产出）,0,2,ZhuWuQi
6101031,3,熔金剑,70,51,0,1,本装备为PVP装,,4,1,1,1,1800,96,117,0,0,0,0,0,0,21,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,icon_64_equip_main_TB_Jian_0008,Weapon_TB_M_Main_1008,普通话本装（不再产出）,0,2,ZhuWuQi
6101032,3,长涉剑,80,61,0,1,本装备为PVP装,,6,1,1,1,1800,125,153,0,0,0,0,0,0,24,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,icon_64_equip_main_TB_Jian_0009,Weapon_TB_M_Main_1009,普通话本装（不再产出）,0,2,ZhuWuQi
6101033,3,逸风剑,90,70,0,1,本装备为PVP装,,8,1,1,1,1800,161,197,0,0,0,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,icon_64_equip_main_TB_Jian_0010,Weapon_TB_M_Main_1010,普通话本装（不再产出）,0,2,ZhuWuQi
6101034,3,归鸿剑,67,50,0,1,本装备为PVP装,,2,1,1,1,1800,88,108,0,0,0,0,0,0,22,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,icon_64_equip_main_TB_Jian_0018,Weapon_TB_M_Main_1018,挑战本装（不再产出）,0,2,ZhuWuQi
6101035,3,流光剑,77,60,0,1,本装备为PVP装,,4,1,1,1,1800,115,141,0,0,0,0,0,0,25,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,icon_64_equip_main_TB_Jian_0019,Weapon_TB_M_Main_1019,挑战本装（不再产出）,0,2,ZhuWuQi
6101036,3,承影剑,87,70,0,1,本装备为PVP装,,6,1,1,1,1800,150,183,0,0,0,0,0,0,28,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,icon_64_equip_main_TB_Jian_0020,Weapon_TB_M_Main_1020,挑战本装（不再产出）,0,2,ZhuWuQi
6101037,3,幽夜剑,97,70,0,1,本装备为PVP装,,8,1,1,1,1800,188,231,0,0,0,0,0,0,31,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,icon_64_equip_main_TB_Jian_0021,Weapon_TB_M_Main_1021,挑战本装（不再产出）,0,2,ZhuWuQi
6101038,4,飞景,105,81,0,1,本装备为PVP装,,9,1,1,1,2000,219,268,0,0,0,0,0,0,34,0,0,37,0,0,40,0,0,0,0,0,0,0,20,0,0,0,6000,icon_64_equip_main_TB_Jian_0024,Weapon_TB_M_Main_1024,稀有装,0,2,ZhuWuQi
6101039,4,洛羽,97,65,0,1,本装备为PVP装,,6,1,1,1,2000,185,227,0,0,0,0,0,0,28,0,0,30,0,0,36,0,0,0,0,0,0,0,18,0,0,0,3840,icon_64_equip_main_TB_Jian_0023,Weapon_TB_M_Main_1023,稀有装,0,2,ZhuWuQi
6101040,4,盈天,110,85,0,1,本装备为PVP装,,9,1,1,1,2000,268,327,0,0,0,0,0,0,38,0,0,41,0,0,44,0,0,0,0,0,0,0,22,0,0,0,4800,icon_64_equip_main_TB_Jian_0022,Weapon_TB_M_Main_1022,稀有装,0,2,ZhuWuQi
6101041,4,弧光,115,90,0,1,本装备为PVP装,,9,1,1,1,2000,309,376,0,0,0,0,0,0,45,0,0,48,0,0,46,0,0,0,0,0,0,0,23,0,0,0,6000,icon_64_equip_main_TB_Jian_0032_Model,Weapon_TB_M_Main_1032,稀有装,0,2,ZhuWuQi
6101042,1,青锋剑,13,11,0,1,,,0,0,0,0,1200,13,15,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,icon_64_equip_main_TB_Jian_0004,Weapon_TB_M_Main_1004,江洋大盗,0,1,ZhuWuQi
6101043,1,清云剑,23,21,0,1,,,0,0,0,0,1200,21,26,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,icon_64_equip_main_TB_Jian_0005,Weapon_TB_M_Main_1005,江洋大盗,0,1,ZhuWuQi
6101044,2,山河·白虹剑,43,30,0,1,本装备为PVP装,,2,1,1,1,1500,44,54,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,icon_64_equip_main_TB_Jian_0006,Weapon_TB_M_Main_1006,江洋大盗,0,2,ZhuWuQi
6101045,2,山河·太阿剑,53,41,0,1,本装备为PVP装,,2,1,1,1,1500,59,73,0,0,0,0,0,0,14,0,0,15,0,0,6,0,0,0,0,0,0,0,3,0,0,0,216,icon_64_equip_main_TB_Jian_0007,Weapon_TB_M_Main_1007,江洋大盗,0,2,ZhuWuQi
6101046,2,山河·金阙剑,63,51,0,1,本装备为PVP装,,4,1,1,1,1500,79,97,0,0,0,0,0,0,17,0,0,18,0,0,8,0,0,0,0,0,0,0,4,0,0,0,288,icon_64_equip_main_TB_Jian_0008,Weapon_TB_M_Main_1008,江洋大盗,0,2,ZhuWuQi
6101047,2,山河·盘岭剑,73,61,0,1,本装备为PVP装,,6,1,1,1,1500,103,127,0,0,0,0,0,0,21,0,0,22,0,0,14,0,0,0,0,0,0,0,7,0,0,0,384,icon_64_equip_main_TB_Jian_0009,Weapon_TB_M_Main_1009,江洋大盗,0,2,ZhuWuQi
6101048,2,山河·寒川剑,83,70,0,1,本装备为PVP装,,8,1,1,1,1500,135,166,0,0,0,0,0,0,24,0,0,25,0,0,24,0,0,0,0,0,0,0,12,0,0,0,480,icon_64_equip_main_TB_Jian_0010,Weapon_TB_M_Main_1010,江洋大盗,0,2,ZhuWuQi
6101049,2,山河·九天剑,88,70,0,1,本装备为PVP装,,9,1,1,1,1500,153,188,0,0,0,0,0,0,25,0,0,27,0,0,28,0,0,0,0,0,0,0,14,0,0,0,600,icon_64_equip_main_TB_Jian_0011,Weapon_TB_M_Main_1011,江洋大盗,0,2,ZhuWuQi
6101050,1,白虹剑,38,31,0,1,本装备为PVP装,,2,1,1,1,1500,38,47,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,icon_64_equip_main_TB_Jian_0006,Weapon_TB_M_Main_1006,商店售卖,0,2,ZhuWuQi
6101051,1,太阿剑,48,41,0,1,本装备为PVP装,,2,1,1,1,1500,51,63,0,0,0,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,icon_64_equip_main_TB_Jian_0007,Weapon_TB_M_Main_1007,商店售卖,0,2,ZhuWuQi
6101052,1,金阙剑,58,51,0,1,本装备为PVP装,,4,1,1,1,1500,68,84,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,icon_64_equip_main_TB_Jian_0008,Weapon_TB_M_Main_1008,商店售卖,0,2,ZhuWuQi
6101053,1,盘岭剑,68,61,0,1,本装备为PVP装,,6,1,1,1,1500,91,111,0,0,0,0,0,0,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,icon_64_equip_main_TB_Jian_0009,Weapon_TB_M_Main_1009,商店售卖,0,2,ZhuWuQi
6101054,1,寒川剑,78,70,0,1,本装备为PVP装,,8,1,1,1,1500,118,145,0,0,0,0,0,0,22,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,icon_64_equip_main_TB_Jian_0010,Weapon_TB_M_Main_1010,商店售卖,0,2,ZhuWuQi
6101055,1,九天剑,85,70,0,1,本装备为PVP装,,9,1,1,1,1500,142,174,0,0,0,0,0,0,24,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,icon_64_equip_main_TB_Jian_0011,Weapon_TB_M_Main_1011,商店售卖,0,2,ZhuWuQi
6101056,0,长剑,1,1,0,1,,,0,0,0,0,1000,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_main_TB_Jian_0001,Weapon_TB_M_Main_1001,商店出售,0,1,ZhuWuQi
6101057,0,轻铁剑,5,1,0,1,,,0,0,0,0,1000,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_main_TB_Jian_0002,Weapon_TB_M_Main_1002,商店售卖,0,1,ZhuWuQi
6101058,1,精钢剑,8,5,0,1,,,0,0,0,0,1200,18,21,0,0,0,0,0,0,1,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_main_TB_Jian_0003,Weapon_TB_M_Main_1003,商店售卖,0,1,ZhuWuQi
6101059,1,青锋剑,18,11,0,1,,,0,0,0,0,1200,25,28,0,0,0,0,0,0,3,0,0,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,24,icon_64_equip_main_TB_Jian_0004,Weapon_TB_M_Main_1004,商店售卖,0,1,ZhuWuQi
6101060,1,清云剑,28,21,0,1,,,0,0,0,0,1200,33,39,0,0,0,0,0,0,6,0,0,6,0,0,0,80,0,0,0,0,0,0,0,0,0,0,48,icon_64_equip_main_TB_Jian_0005,Weapon_TB_M_Main_1005,商店售卖,0,1,ZhuWuQi
6101061,3,幽夜剑,93,81,0,1,本装备为PVP装,,9,1,1,1,1800,179,218,0,0,0,0,0,0,27,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,icon_64_equip_main_TB_Jian_0021,Weapon_TB_M_Main_1021,不再投放的旧版任务装,0,2,ZhuWuQi
6201001,0,长枪,1,1,0,2,,,0,0,0,0,1000,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_main_SW_Qiang_2H_0001,Weapon_SW_M_Main_1001,新手装,0,1,ZhuWuQi
6201002,0,烂银枪,5,1,0,2,,,0,0,0,0,1000,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,icon_64_equip_main_SW_Qiang_2H_0002,Weapon_SW_M_Main_1002,任务装PVE,0,1,ZhuWuQi
6201003,1,寒铁枪,8,5,0,2,,,0,0,0,0,1200,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,12,icon_64_equip_main_SW_Qiang_2H_0003,Weapon_SW_M_Main_1003,任务装PVE,0,1,ZhuWuQi
6201004,1,火缨枪,18,11,0,2,,,0,0,0,0,1200,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,24,icon_64_equip_main_SW_Qiang_2H_0004,Weapon_SW_M_Main_1004,任务装PVE,0,1,ZhuWuQi
6201005,1,斩刃枪,28,21,0,2,,,0,0,0,0,1200,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,1,0,48,icon_64_equip_main_SW_Qiang_2H_0005,Weapon_SW_M_Main_1005,任务装PVE,0,1,ZhuWuQi
6201006,1,透甲枪,38,31,0,2,本装备为PVP装,,2,1,1,1,1500,43,54,0,0,0,0,0,0,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,icon_64_equip_main_SW_Qiang_2H_0029,Weapon_SW_M_Main_1006,不再投放的旧版任务装,0,2,ZhuWuQi
6201007,1,贯心枪,48,41,0,2,本装备为PVP装,,2,1,1,1,1500,58,71,0,0,0,0,0,0,22,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,icon_64_equip_main_SW_Qiang_2H_0006,Weapon_SW_M_Main_1007,不再投放的旧版任务装,0,2,ZhuWuQi
6201008,2,初武枪,63,51,0,2,本装备为PVP装,,4,1,1,1,1500,92,112,0,0,0,0,0,0,20,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,icon_64_equip_main_SW_Qiang_2H_0007,Weapon_SW_M_Main_1008,不再投放的旧版任务装,0,2,ZhuWuQi
6201009,2,千军枪,73,61,0,2,本装备为PVP装,,6,1,1,1,1500,120,147,0,0,0,0,0,0,24,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,icon_64_equip_main_SW_Qiang_2H_0008,Weapon_SW_M_Main_1009,不再投放的旧版任务装,0,2,ZhuWuQi
6201010,2,涯角枪,83,70,0,2,本装备为PVP装,,8,1,1,1,1500,159,195,0,0,0,0,0,0,28,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,icon_64_equip_main_SW_Qiang_2H_0031,Weapon_SW_M_Main_1010,不再投放的旧版任务装,0,2,ZhuWuQi
6201011,1,五虎枪,85,70,0,2,本装备为PVP装,,9,1,1,1,1500,161,198,0,0,0,0,0,0,43,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,icon_64_equip_main_SW_Qiang_2H_0009,Weapon_SW_M_Main_1011,未投放装备,0,2,ZhuWuQi
6201012,1,绛羽枪,40,31,0,2,本装备为PVP装,,2,1,1,1,1200,46,57,0,0,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,icon_64_equip_main_SW_Qiang_2H_0030,Weapon_SW_M_Main_1012,制造装,0,2,ZhuWuQi
6201013,1,青羊枪,50,41,0,2,本装备为PVP装,,2,1,1,1,1200,61,75,0,0,0,0,0,0,23,0,8,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,108,icon_64_equip_main_SW_Qiang_2H_0010,Weapon_SW_M_Main_1013,制造装,0,2,ZhuWuQi
6201014,1,孤星,60,51,0,2,本装备为PVP装,,4,1,1,1,1200,82,100,0,0,0,0,0,0,29,0,10,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,144,icon_64_equip_main_SW_Qiang_2H_0011,Weapon_SW_M_Main_1014,制造装,0,2,ZhuWuQi
6201015,1,裂星,70,61,0,2,本装备为PVP装,,6,1,1,1,1200,108,133,0,0,0,0,0,0,35,0,12,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,192,icon_64_equip_main_SW_Qiang_2H_0012,Weapon_SW_M_Main_1015,制造装,0,2,ZhuWuQi
6201016,1,龙胆,80,70,0,2,本装备为PVP装,,8,1,1,1,1200,141,173,0,0,0,0,0,0,40,0,13,0,0,0,22,0,0,0,0,0,0,0,11,0,0,0,240,icon_64_equip_main_SW_Qiang_2H_0013,Weapon_SW_M_Main_1016,制造装,0,2,ZhuWuQi
6201017,1,狼烟,90,70,0,2,本装备为PVP装,,9,1,1,1,1200,182,224,0,0,0,0,0,0,46,0,15,0,0,0,30,0,0,0,0,0,0,0,15,0,0,0,300,icon_64_equip_main_SW_Qiang_2H_0014,Weapon_SW_M_Main_1017,制造装,0,2,ZhuWuQi
6201018,2,焰羽枪,45,31,0,2,本装备为PVP装,,2,1,1,1,1500,53,65,0,0,0,0,0,0,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,icon_64_equip_main_SW_Qiang_2H_0030,Weapon_SW_M_Main_1012,制造装,0,2,ZhuWuQi
6201019,2,青林枪,55,41,0,2,本装备为PVP装,,2,1,1,1,1500,71,87,0,0,0,0,0,0,26,0,9,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,216,icon_64_equip_main_SW_Qiang_2H_0010,Weapon_SW_M_Main_1013,制造装,0,2,ZhuWuQi
6201020,2,烁月,65,51,0,2,本装备为PVP装,,4,1,1,1,1500,94,115,0,0,0,0,0,0,32,0,11,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,288,icon_64_equip_main_SW_Qiang_2H_0011,Weapon_SW_M_Main_1014,制造装,0,2,ZhuWuQi
6201021,2,挽月,75,61,0,2,本装备为PVP装,,6,1,1,1,1500,122,150,0,0,0,0,0,0,38,0,13,0,0,0,16,0,0,0,0,0,0,0,8,0,0,0,384,icon_64_equip_main_SW_Qiang_2H_0012,Weapon_SW_M_Main_1015,制造装,0,2,ZhuWuQi
6201022,2,凤魂,85,70,0,2,本装备为PVP装,,8,1,1,1,1500,161,198,0,0,0,0,0,0,43,0,14,0,0,0,26,0,0,0,0,0,0,0,13,0,0,0,480,icon_64_equip_main_SW_Qiang_2H_0013,Weapon_SW_M_Main_1016,制造装,0,2,ZhuWuQi
6201023,2,干戈,95,70,0,2,本装备为PVP装,,9,1,1,1,1500,204,250,0,0,0,0,0,0,49,0,16,0,0,0,34,0,0,0,0,0,0,0,17,0,0,0,600,icon_64_equip_main_SW_Qiang_2H_0014,Weapon_SW_M_Main_1017,制造装,0,2,ZhuWuQi
6201024,3,青樽枪,63,41,0,2,本装备为PVP装,,2,1,1,1,1800,89,109,0,0,0,0,0,0,31,0,11,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,432,icon_64_equip_main_SW_Qiang_2H_0010,Weapon_SW_M_Main_1013,制造装,0,2,ZhuWuQi
6201025,3,炎阳,73,51,0,2,本装备为PVP装,,4,1,1,1,1800,116,143,0,0,0,0,0,0,37,0,13,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,576,icon_64_equip_main_SW_Qiang_2H_0011,Weapon_SW_M_Main_1014,制造装,0,2,ZhuWuQi
6201026,3,贯日,83,61,0,2,本装备为PVP装,,6,1,1,1,1800,153,188,0,0,0,0,0,0,42,0,14,0,0,0,24,0,0,0,0,0,0,0,12,0,0,0,768,icon_64_equip_main_SW_Qiang_2H_0012,Weapon_SW_M_Main_1015,制造装,0,2,ZhuWuQi
6201027,3,帝钧,93,70,0,2,本装备为PVP装,,8,1,1,1,1800,195,240,0,0,0,0,0,0,48,0,16,0,0,0,32,0,0,0,0,0,0,0,16,0,0,0,960,icon_64_equip_main_SW_Qiang_2H_0013,Weapon_SW_M_Main_1016,制造装,0,2,ZhuWuQi
6201028,3,天下,103,70,0,2,本装备为PVP装,,9,1,1,1,1800,240,294,0,0,0,0,0,0,54,0,18,0,0,0,38,0,0,0,0,0,0,0,19,0,0,0,1200,icon_64_equip_main_SW_Qiang_2H_0014,Weapon_SW_M_Main_1017,制造装,0,2,ZhuWuQi
6201029,3,百战枪,47,30,0,2,,,2,1,1,1,1500,56,69,0,0,0,0,0,0,21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,icon_64_equip_main_SW_Qiang_2H_0029,Weapon_SW_M_Main_1006,普通话本装（不再产出）,0,2,ZhuWuQi
