fashionId,itemId,suiyin,d,e,f,g,h,i,position,k,weight,
362,6018017,0,0,0,0,0,0, [], head,1,141, 
363,6018018,0,0,0,0,0,0, [], body,1,142, 
364,6018019,0,0,0,0,0,0, [], wrist,1,143, 
365,6018020,0,0,0,0,0,0, [], leg,1,144, 
366,6018021,0,0,0,0,0,0, [], head,1,145, 
367,6018022,0,0,0,0,0,0, [], body,1,146, 
368,6018023,0,0,0,0,0,0, [], wrist,1,147, 
369,6018024,0,0,0,0,0,0, [], leg,1,148, 
370,6018025,0,0,0,0,0,0, [], head,1,149, 
371,6018026,0,0,0,0,0,0, [], body,1,150, 
372,6018027,0,0,0,0,0,0, [], wrist,1,151, 
373,6018028,0,0,0,0,0,0, [], leg,1,152, 
374,6018029,0,0,0,0,0,0, [], head,1,153, 
375,6018030,0,0,0,0,0,0, [], body,1,154, 
376,6018031,0,0,0,0,0,0, [], wrist,1,155, 
377,6018032,0,0,0,0,0,0, [], leg,1,156, 
378,6018033,0,0,0,0,0,0, [], head,1,157, 
379,6018034,0,0,0,0,0,0, [], body,1,158, 
380,6018035,0,0,0,0,0,0, [], wrist,1,159, 
381,6018036,0,0,0,0,0,0, [], leg,1,160, 
386,6018041,0,0,0,0,0,0, [], head,1,161, 
387,6018042,0,0,0,0,0,0, [], body,1,162, 
388,6018043,0,0,0,0,0,0, [], wrist,1,163, 
389,6018044,0,0,0,0,0,0, [], leg,1,164, 
398,6018053,0,0,0,0,0,0, [], leg,1,165, 
399,6018054,0,0,0,0,0,0, [], leg,1,166, 
400,6018055,0,0,0,0,0,0, [], leg,1,167, 
401,6019001,0,0,0,0,0,0, [], waist,1,168, 
402,6019002,0,0,0,0,0,0, [], back,1,169, 
403,6019003,0,0,0,0,0,0, [], waist,1,170, 
404,6019004,0,0,0,0,0,0, [], back,1,171, 
405,6019005,0,0,0,0,0,0, [], waist,1,172, 
406,6019006,0,0,0,0,0,0, [], back,1,173, 
407,6019007,0,0,0,0,0,0, [], back,1,174, 
408,6019008,0,0,0,0,0,0, [], back,1,175, 
409,6019009,0,0,0,0,0,0, [], back,1,176, 
410,6019010,0,0,0,0,0,0, [], back,1,177, 
411,6019011,0,0,0,0,0,0, [], back,1,178, 
412,6019012,0,0,0,0,0,0, [], back,1,179, 
413,6019013,0,0,0,0,0,0, [], back,1,180, 
414,6019014,0,0,0,0,0,0, [], back,1,181, 
415,6019015,0,0,0,0,0,0, [], back,1,182, 
416,6019016,0,0,0,0,0,0, [], back,1,183, 
417,6019017,0,0,0,0,0,0, [], back,1,184, 
418,6019018,0,0,0,0,0,0, [], back,1,185, 
419,6019019,0,0,0,0,0,0, [], back,1,186, 
420,6019020,0,0,0,0,0,0, [], back,1,187, 
421,6019021,0,0,0,0,0,0, [], back,1,188, 
423,6019023,0,0,0,0,0,0, [], back,1,189, 
426,6019026,0,0,0,0,0,0, [], back,1,190, 
427,6019027,0,0,0,0,0,0, [], waist,1,191, 
428,6019028,0,0,0,0,0,0, [], back,1,192, 
429,6019029,0,0,0,0,0,0, [], back,1,193, 
430,6019030,0,0,0,0,0,0, [], waist,1,194, 
431,6019031,0,0,0,0,0,0, [], back,1,195, 
434,6021001,200,0,0,0,0,0, [], weapon,1,196, 
435,6021002,500,0,0,0,0,0, [], weapon,1,197, 
436,6021003,1000,0,0,0,0,0, [], weapon,1,198, 
437,6021004,1600,0,0,0,0,0, [], weapon,1,199, 
438,6021005,2600,0,0,0,0,0, [], weapon,1,200, 
439,6021006,4200,0,0,0,0,0, [], weapon,1,201, 
440,6021007,9600,0,0,0,0,0, [], weapon,1,202, 
441,6021008,30000,0,0,0,0,0, [], weapon,1,203, 
442,6021009,84000,0,0,0,0,0, [], weapon,1,204, 
443,6021010,300000,0,0,0,0,0, [], weapon,1,205, 
444,6021011,300000,0,0,0,0,0, [], weapon,1,206, 
445,6021012,6400,0,0,0,0,0, [], weapon,1,207, 
446,6021013,14400,0,0,0,0,0, [], weapon,1,208, 
447,6021014,42000,0,0,0,0,0, [], weapon,1,209, 
448,6021015,168000,0,0,0,0,0, [], weapon,1,210, 
449,6021016,600000,0,0,0,0,0, [], weapon,1,211, 
450,6021017,1200000,0,0,0,0,0, [], weapon,1,212, 
451,6021034,10000,0,0,0,0,0, [], weapon,1,213, 
452,6021035,30000,0,0,0,0,0, [], weapon,1,214, 
453,6021036,120000,0,0,0,0,0, [], weapon,1,215, 
454,6021037,450000,0,0,0,0,0, [], weapon,1,216, 
455,6021038,1280000,0,0,0,0,0, [], weapon,1,217, 
456,6021039,160000,0,0,0,0,0, [], weapon,1,218, 
457,6021040,640000,0,0,0,0,0, [], weapon,1,219, 
458,6021041,2000000,0,0,0,0,0, [], weapon,0,220, 
459,6021042,200,0,0,0,0,0, [], weapon,1,221, 
460,6021043,500,0,0,0,0,0, [], weapon,1,222, 
461,6021044,1000,0,0,0,0,0, [], weapon,1,223, 
462,6021045,1600,0,0,0,0,0, [], weapon,1,224, 
463,6021046,2600,0,0,0,0,0, [], weapon,1,225, 
464,6021047,4200,0,0,0,0,0, [], weapon,1,226, 
465,6021048,9600,0,0,0,0,0, [], weapon,1,227, 
466,6021049,30000,0,0,0,0,0, [], weapon,1,228, 
467,6021050,84000,0,0,0,0,0, [], weapon,1,229, 
468,6021051,300000,0,0,0,0,0, [], weapon,1,230, 
469,6021052,300000,0,0,0,0,0, [], weapon,1,231, 
470,6021053,6400,0,0,0,0,0, [], weapon,1,232, 
471,6021054,14400,0,0,0,0,0, [], weapon,1,233, 
472,6021055,42000,0,0,0,0,0, [], weapon,1,234, 
473,6021056,168000,0,0,0,0,0, [], weapon,1,235, 
474,6021057,600000,0,0,0,0,0, [], weapon,1,236, 
475,6021058,1200000,0,0,0,0,0, [], weapon,1,237, 
476,6021075,10000,0,0,0,0,0, [], weapon,1,238, 
477,6021076,30000,0,0,0,0,0, [], weapon,1,239, 
478,6021077,120000,0,0,0,0,0, [], weapon,1,240, 
479,6021078,450000,0,0,0,0,0, [], weapon,1,241, 
480,6021079,1280000,0,0,0,0,0, [], weapon,1,242, 
481,6021080,160000,0,0,0,0,0, [], weapon,1,243, 
482,6021081,640000,0,0,0,0,0, [], weapon,1,244, 
484,6021083,200,0,0,0,0,0, [], weapon,1,245, 
485,6021084,500,0,0,0,0,0, [], weapon,1,246, 
486,6021085,1000,0,0,0,0,0, [], weapon,1,247, 
487,6021086,1600,0,0,0,0,0, [], weapon,1,248, 
488,6021087,2600,0,0,0,0,0, [], weapon,1,249, 
489,6021088,4200,0,0,0,0,0, [], weapon,1,250, 
490,6021089,9600,0,0,0,0,0, [], weapon,1,251, 
491,6021090,30000,0,0,0,0,0, [], weapon,1,252, 
492,6021091,84000,0,0,0,0,0, [], weapon,1,253, 
493,6021092,300000,0,0,0,0,0, [], weapon,1,254, 
494,6021093,300000,0,0,0,0,0, [], weapon,1,255, 
495,6021094,6400,0,0,0,0,0, [], weapon,1,256, 
496,6021095,14400,0,0,0,0,0, [], weapon,1,257, 
497,6021096,42000,0,0,0,0,0, [], weapon,1,258, 
498,6021097,168000,0,0,0,0,0, [], weapon,1,259, 
499,6021098,600000,0,0,0,0,0, [], weapon,1,260, 
500,6021099,1200000,0,0,0,0,0, [], weapon,1,261, 
501,6021116,10000,0,0,0,0,0, [], weapon,1,262, 
502,6021117,30000,0,0,0,0,0, [], weapon,1,263, 
503,6021118,120000,0,0,0,0,0, [], weapon,1,264, 
504,6021119,450000,0,0,0,0,0, [], weapon,1,265, 
505,6021120,1280000,0,0,0,0,0, [], weapon,1,266, 
506,6021121,160000,0,0,0,0,0, [], weapon,1,267, 
507,6021122,640000,0,0,0,0,0, [], weapon,1,268, 
509,6021124,14500,0,0,0,0,0, [], weapon,1,269, 
510,6021141,100000,0,0,0,0,0, [], weapon,1,270, 
511,6021149,300000,0,0,0,0,0, [], weapon,1,271, 
512,6021161,1280000,0,0,0,0,0, [], weapon,1,272, 
538,6021247,200,0,0,0,0,0, [], weapon,1,273, 
539,6021248,500,0,0,0,0,0, [], weapon,1,274, 
540,6021249,1000,0,0,0,0,0, [], weapon,1,275, 
541,6021250,1600,0,0,0,0,0, [], weapon,1,276, 
542,6021251,2600,0,0,0,0,0, [], weapon,1,277, 
543,6021252,4200,0,0,0,0,0, [], weapon,1,278, 
544,6021253,9600,0,0,0,0,0, [], weapon,1,279, 
545,6021254,30000,0,0,0,0,0, [], weapon,1,280, 
546,6021255,84000,0,0,0,0,0, [], weapon,1,281, 
547,6021256,300000,0,0,0,0,0, [], weapon,1,282, 
548,6021257,300000,0,0,0,0,0, [], weapon,1,283, 
549,6021258,6400,0,0,0,0,0, [], weapon,1,284, 
550,6021259,14400,0,0,0,0,0, [], weapon,1,285, 
551,6021260,42000,0,0,0,0,0, [], weapon,1,286, 
552,6021261,168000,0,0,0,0,0, [], weapon,1,287, 
553,6021262,600000,0,0,0,0,0, [], weapon,1,288, 
554,6021263,1200000,0,0,0,0,0, [], weapon,1,289, 
555,6021280,10000,0,0,0,0,0, [], weapon,1,290, 
556,6021281,30000,0,0,0,0,0, [], weapon,1,291, 
557,6021282,120000,0,0,0,0,0, [], weapon,1,292, 
558,6021283,450000,0,0,0,0,0, [], weapon,1,293, 
559,6021284,1280000,0,0,0,0,0, [], weapon,1,294, 
560,6021285,160000,0,0,0,0,0, [], weapon,1,295, 
561,6021286,640000,0,0,0,0,0, [], weapon,1,296, 
563,6022001,200,0,0,0,0,0, [], assist_weapon,1,297, 
564,6022002,500,0,0,0,0,0, [], assist_weapon,1,298, 
565,6022003,1000,0,0,0,0,0, [], assist_weapon,1,299, 
566,6022004,1600,0,0,0,0,0, [], assist_weapon,1,300, 
567,6022005,2600,0,0,0,0,0, [], assist_weapon,1,301, 
568,6022006,4200,0,0,0,0,0, [], assist_weapon,1,302, 
569,6022007,9600,0,0,0,0,0, [], assist_weapon,1,303, 
570,6022008,30000,0,0,0,0,0, [], assist_weapon,1,304, 
571,6022009,84000,0,0,0,0,0, [], assist_weapon,1,305, 
572,6022010,300000,0,0,0,0,0, [], assist_weapon,1,306, 
573,6022011,300000,0,0,0,0,0, [], assist_weapon,1,307, 
574,6022012,6400,0,0,0,0,0, [], assist_weapon,1,308, 
575,6022013,14400,0,0,0,0,0, [], assist_weapon,1,309, 
576,6022014,42000,0,0,0,0,0, [], assist_weapon,1,310, 
577,6022015,168000,0,0,0,0,0, [], assist_weapon,1,311, 
578,6022016,600000,0,0,0,0,0, [], assist_weapon,1,312, 
579,6022017,1200000,0,0,0,0,0, [], assist_weapon,1,313, 
580,6022034,10000,0,0,0,0,0, [], assist_weapon,1,314, 
581,6022035,30000,0,0,0,0,0, [], assist_weapon,1,315, 
582,6022036,120000,0,0,0,0,0, [], assist_weapon,1,316, 
583,6022037,450000,0,0,0,0,0, [], assist_weapon,1,317, 
584,6022038,1280000,0,0,0,0,0, [], assist_weapon,1,318, 
585,6022039,160000,0,0,0,0,0, [], assist_weapon,1,319, 
586,6022040,640000,0,0,0,0,0, [], assist_weapon,1,320, 
587,6022041,2000000,0,0,0,0,0, [], assist_weapon,0,321, 
588,6022042,200,0,0,0,0,0, [], assist_weapon,1,322, 
589,6022043,500,0,0,0,0,0, [], assist_weapon,1,323, 
590,6022044,1000,0,0,0,0,0, [], assist_weapon,1,324, 
591,6022045,1600,0,0,0,0,0, [], assist_weapon,1,325, 
592,6022046,2600,0,0,0,0,0, [], assist_weapon,1,326, 
593,6022047,4200,0,0,0,0,0, [], assist_weapon,1,327, 
594,6022048,9600,0,0,0,0,0, [], assist_weapon,1,328, 
595,6022049,30000,0,0,0,0,0, [], assist_weapon,1,329, 
596,6022050,84000,0,0,0,0,0, [], assist_weapon,1,330, 
597,6022051,300000,0,0,0,0,0, [], assist_weapon,1,331, 
598,6022052,300000,0,0,0,0,0, [], assist_weapon,1,332, 
599,6022053,6400,0,0,0,0,0, [], assist_weapon,1,333, 
600,6022054,14400,0,0,0,0,0, [], assist_weapon,1,334, 
601,6022055,42000,0,0,0,0,0, [], assist_weapon,1,335, 
602,6022056,168000,0,0,0,0,0, [], assist_weapon,1,336, 
603,6022057,600000,0,0,0,0,0, [], assist_weapon,1,337, 
604,6022058,1200000,0,0,0,0,0, [], assist_weapon,1,338, 
605,6022075,10000,0,0,0,0,0, [], assist_weapon,1,339, 
606,6022076,30000,0,0,0,0,0, [], assist_weapon,1,340, 
607,6022077,120000,0,0,0,0,0, [], assist_weapon,1,341, 
608,6022078,450000,0,0,0,0,0, [], assist_weapon,1,342, 
609,6022079,1280000,0,0,0,0,0, [], assist_weapon,1,343, 
610,6022080,160000,0,0,0,0,0, [], assist_weapon,1,344, 
611,6022081,640000,0,0,0,0,0, [], assist_weapon,1,345, 
613,6022083,200,0,0,0,0,0, [], assist_weapon,1,346, 
614,6022084,500,0,0,0,0,0, [], assist_weapon,1,347, 
615,6022085,1000,0,0,0,0,0, [], assist_weapon,1,348, 
616,6022086,1600,0,0,0,0,0, [], assist_weapon,1,349, 
617,6022087,2600,0,0,0,0,0, [], assist_weapon,1,350, 
618,6022088,4200,0,0,0,0,0, [], assist_weapon,1,351, 
619,6022089,9600,0,0,0,0,0, [], assist_weapon,1,352, 
620,6022090,30000,0,0,0,0,0, [], assist_weapon,1,353, 
621,6022091,84000,0,0,0,0,0, [], assist_weapon,1,354, 
622,6022092,300000,0,0,0,0,0, [], assist_weapon,1,355, 
623,6022093,300000,0,0,0,0,0, [], assist_weapon,1,356, 
624,6022094,6400,0,0,0,0,0, [], assist_weapon,1,357, 
625,6022095,14400,0,0,0,0,0, [], assist_weapon,1,358, 
626,6022096,42000,0,0,0,0,0, [], assist_weapon,1,359, 
627,6022097,168000,0,0,0,0,0, [], assist_weapon,1,360, 
628,6022098,600000,0,0,0,0,0, [], assist_weapon,1,361, 
629,6022099,1200000,0,0,0,0,0, [], assist_weapon,1,362, 
630,6022116,10000,0,0,0,0,0, [], assist_weapon,1,363, 
631,6022117,30000,0,0,0,0,0, [], assist_weapon,1,364, 
632,6022118,120000,0,0,0,0,0, [], assist_weapon,1,365, 
633,6022119,450000,0,0,0,0,0, [], assist_weapon,1,366, 
634,6022120,1280000,0,0,0,0,0, [], assist_weapon,1,367, 
635,6022121,160000,0,0,0,0,0, [], assist_weapon,1,368, 
637,6022124,200,0,0,0,0,0, [], assist_weapon,1,369, 
638,6022125,500,0,0,0,0,0, [], assist_weapon,1,370, 
639,6022126,1000,0,0,0,0,0, [], assist_weapon,1,371, 
640,6022127,1600,0,0,0,0,0, [], assist_weapon,1,372, 
641,6022128,2600,0,0,0,0,0, [], assist_weapon,1,373, 
642,6022129,4200,0,0,0,0,0, [], assist_weapon,1,374, 
643,6022130,9600,0,0,0,0,0, [], assist_weapon,1,375, 
644,6022131,30000,0,0,0,0,0, [], assist_weapon,1,376, 
645,6022132,84000,0,0,0,0,0, [], assist_weapon,1,377, 
646,6022133,300000,0,0,0,0,0, [], assist_weapon,1,378, 
647,6022134,300000,0,0,0,0,0, [], assist_weapon,1,379, 
648,6022135,6400,0,0,0,0,0, [], assist_weapon,1,380, 
649,6022136,14400,0,0,0,0,0, [], assist_weapon,1,381, 
650,6022137,42000,0,0,0,0,0, [], assist_weapon,1,382, 
651,6022138,168000,0,0,0,0,0, [], assist_weapon,1,383, 
652,6022139,600000,0,0,0,0,0, [], assist_weapon,1,384, 
653,6022140,1200000,0,0,0,0,0, [], assist_weapon,1,385, 
654,6022157,10000,0,0,0,0,0, [], assist_weapon,1,386, 
655,6022158,30000,0,0,0,0,0, [], assist_weapon,1,387, 
656,6022159,120000,0,0,0,0,0, [], assist_weapon,1,388, 
657,6022160,450000,0,0,0,0,0, [], assist_weapon,1,389, 
658,6022161,1280000,0,0,0,0,0, [], assist_weapon,1,390, 
659,6022162,160000,0,0,0,0,0, [], assist_weapon,1,391, 
660,6022163,640000,0,0,0,0,0, [], assist_weapon,1,392, 
662,6022165,200,0,0,0,0,0, [], assist_weapon,1,393, 
663,6022166,500,0,0,0,0,0, [], assist_weapon,1,394, 
664,6022167,1000,0,0,0,0,0, [], assist_weapon,1,395, 
665,6022168,1600,0,0,0,0,0, [], assist_weapon,1,396, 
666,6022169,2600,0,0,0,0,0, [], assist_weapon,1,397, 
667,6022170,4200,0,0,0,0,0, [], assist_weapon,1,398, 
668,6022171,9600,0,0,0,0,0, [], assist_weapon,1,399, 
669,6022172,30000,0,0,0,0,0, [], assist_weapon,1,400, 
670,6022173,84000,0,0,0,0,0, [], assist_weapon,1,401, 
671,6022174,300000,0,0,0,0,0, [], assist_weapon,1,402, 
672,6022175,300000,0,0,0,0,0, [], assist_weapon,1,403, 
673,6022176,6400,0,0,0,0,0, [], assist_weapon,1,404, 
674,6022177,14400,0,0,0,0,0, [], assist_weapon,1,405, 
675,6022178,42000,0,0,0,0,0, [], assist_weapon,1,406, 
676,6022179,168000,0,0,0,0,0, [], assist_weapon,1,407, 
677,6022180,600000,0,0,0,0,0, [], assist_weapon,1,408, 
678,6022181,1200000,0,0,0,0,0, [], assist_weapon,1,409, 
679,6022198,10000,0,0,0,0,0, [], assist_weapon,1,410, 
680,6022199,30000,0,0,0,0,0, [], assist_weapon,1,411, 
681,6022200,120000,0,0,0,0,0, [], assist_weapon,1,412, 
682,6022201,450000,0,0,0,0,0, [], assist_weapon,1,413, 
683,6022202,1280000,0,0,0,0,0, [], assist_weapon,1,414, 
684,6022203,160000,0,0,0,0,0, [], assist_weapon,1,415, 
685,6022204,640000,0,0,0,0,0, [], assist_weapon,1,416, 
687,6022247,200,0,0,0,0,0, [], assist_weapon,1,417, 
688,6022248,500,0,0,0,0,0, [], assist_weapon,1,418, 
689,6022249,1000,0,0,0,0,0, [], assist_weapon,1,419, 
690,6022250,1600,0,0,0,0,0, [], assist_weapon,1,420, 
691,6022251,2600,0,0,0,0,0, [], assist_weapon,1,421, 
692,6022252,4200,0,0,0,0,0, [], assist_weapon,1,422, 
693,6022253,9600,0,0,0,0,0, [], assist_weapon,1,423, 
694,6022254,30000,0,0,0,0,0, [], assist_weapon,1,424, 
695,6022255,84000,0,0,0,0,0, [], assist_weapon,1,425, 
696,6022256,300000,0,0,0,0,0, [], assist_weapon,1,426, 
697,6022257,300000,0,0,0,0,0, [], assist_weapon,1,427, 
698,6022258,6400,0,0,0,0,0, [], assist_weapon,1,428, 
699,6022259,14400,0,0,0,0,0, [], assist_weapon,1,429, 
700,6022260,42000,0,0,0,0,0, [], assist_weapon,1,430, 
701,6022261,168000,0,0,0,0,0, [], assist_weapon,1,431, 
702,6022262,600000,0,0,0,0,0, [], assist_weapon,1,432, 
703,6022263,1200000,0,0,0,0,0, [], assist_weapon,1,433, 
704,6022280,10000,0,0,0,0,0, [], assist_weapon,1,434, 
705,6022281,30000,0,0,0,0,0, [], assist_weapon,1,435, 
706,6022282,120000,0,0,0,0,0, [], assist_weapon,1,436, 
707,6022283,450000,0,0,0,0,0, [], assist_weapon,1,437, 
708,6022284,1280000,0,0,0,0,0, [], assist_weapon,1,438, 
709,6022285,160000,0,0,0,0,0, [], assist_weapon,1,439, 
710,6022286,640000,0,0,0,0,0, [], assist_weapon,1,440, 
712,6023001,1800,0,0,0,0,0, [], head,1,441, 
713,6023002,3000,0,0,0,0,0, [], head,1,442, 
714,6023003,390000,0,0,0,0,0, [], head,1,443, 
715,6023004,3180000,0,0,0,0,0, [], head,1,444, 
716,6023005,3150000,0,0,0,0,0, [], head,1,445, 
718,6023007,1800,0,0,0,0,0, [], head,1,446, 
719,6023008,3000,0,0,0,0,0, [], head,1,447, 
720,6023009,390000,0,0,0,0,0, [], head,1,448, 
721,6023010,3180000,0,0,0,0,0, [], head,1,449, 
