map, itemName, x, y
21HHZ, 一袋糯米, 353.68, 957.48
21HHZ, 一袋糯米, 340.66, 995.86
21HHZ, 一袋糯米, 324.74, 1028.75
21HHZ, 一袋牛肉, 311.35, 1056.41
21HHZ, 一袋牛肉, 306.67, 1106.81
21HHZ, 一袋牛肉, 305.76, 1072.56
21HHZ, 一袋牛肉, 329.27, 1007.03
21HHZ, 一袋牛肉, 343.42, 973.58
21HHZ, 一袋排骨, 362.58, 930.49
21HHZ, 一袋排骨, 378.62, 884.73
21HHZ, 一袋排骨, 314.48, 1044.56
21HHZ, 一袋排骨, 327.7, 1073.6
21HHZ, 一袋排骨, 312.25, 1138.46
21HHZ, 一袋香菇, 309.08, 1123.92
21HHZ, 一袋香菇, 319.47, 1102.0
21HHZ, 一袋香菇, 314.29, 1079.59
21HHZ, 一袋香菇, 323.13, 1060.19
21HHZ, 一袋香菇, 360.88, 976.96
21HHZ, 一袋冬瓜, 368.09, 950.75
21HHZ, 一袋冬瓜, 381.15, 930.44
21HHZ, 一袋冬瓜, 396.7, 914.87
21HHZ, 一袋冬瓜, 392.18, 882.05
21HHZ, 一袋冬瓜, 397.7, 887.85
21HHZ, 一袋竹笋, 375.07, 907.88
21HHZ, 一袋竹笋, 351.41, 966.23
21HHZ, 一袋竹笋, 337.08, 1023.37
21HHZ, 一袋竹笋, 329.44, 1045.6
21HHZ, 一袋竹笋, 320.77, 1131.33
21HHZ, 一袋青菜, 306.22, 1146.77
21HHZ, 一袋青菜, 302.21, 1099.04
21HHZ, 一袋青菜, 313.43, 1066.42
21HHZ, 一袋青菜, 324.51, 1014.03
21HHZ, 一袋青菜, 344.18, 984.25
21HHZ, 一袋豆豉, 359.62, 937.79
21HHZ, 一袋豆豉, 367.99, 911.69
21HHZ, 一袋豆豉, 379.75, 872.65
21HHZ, 一袋豆豉, 319.66, 1028.96
21HHZ, 一袋豆豉, 303.65, 1080.43
21HHZ, 沉没的货物, 518.84, 1660.65
21HHZ, 沉没的货物, 508.13, 1675.91
21HHZ, 沉没的货物, 500.7, 1672.45
21HHZ, 沉没的货物, 515.98, 1696.99
21HHZ, 沉没的货物, 532.34, 1697.85
21HHZ, 沉没的货物, 519.94, 1684.84
21HHZ, 沉没的货物, 542.05, 1691.01
21HHZ, 沉没的货物, 530.13, 1673.68
21HHZ, 沉没的货物, 486.0, 1697.21
21HHZ, 沉没的货物, 470.86, 1684.28
21HHZ, 沉没的货物, 454.56, 1693.22
21HHZ, 沉没的货物, 470.35, 1709.92
21HHZ, 沉没的货物, 452.56, 1710.46
21HHZ, 沉没的货物, 480.03, 1732.39
21HHZ, 沉没的货物, 498.03, 1727.63
21HHZ, 沉没的货物, 500.22, 1713.82
21HHZ, 沉没的货物, 485.0, 1749.05
21HHZ, 沉没的货物, 464.35, 1742.96
21HHZ, 沉没的货物, 429.07, 1734.11
21HHZ, 沉没的货物, 403.78, 1743.94
21HHZ, 沉没的货物, 420.1, 1754.33
21HHZ, 沉没的货物, 411.16, 1768.22
21HHZ, 沉没的货物, 389.03, 1760.79
21HHZ, 沉没的货物, 453.22, 1770.82
21HHZ, 沉没的货物, 447.73, 1788.07
21HHZ, 沉没的货物, 431.76, 1770.46
21HHZ, 沉没的货物, 434.29, 1803.32
21HHZ, 沉没的货物, 417.61, 1795.71
21HHZ, 沉没的货物, 418.76, 1663.78
21HHZ, 沉没的货物, 411.0, 1685.76
21HHZ, 沉没的货物, 406.53, 1698.31
21HHZ, 沉没的货物, 383.77, 1687.45
21HHZ, 沉没的货物, 393.51, 1670.88
21HHZ, 沉没的货物, 369.36, 1715.7
21HHZ, 沉没的货物, 335.57, 1705.31
21HHZ, 沉没的货物, 353.91, 1698.91
21HHZ, 沉没的货物, 355.35, 1674.88
21HHZ, 沉没的货物, 329.07, 1674.96
21HHZ, 沉没的货物, 521.98, 1655.67
21HHZ, 沉没的货物, 516.91, 1653.48
21HHZ, 遗落的补给物资, 376.38, 902.27
21HHZ, 遗落的补给物资, 380.67, 897.88
21HHZ, 遗落的补给物资, 349.71, 1022.24
21HHZ, 遗落的补给物资, 359.31, 1025.52
21HHZ, 遗落的补给物资, 350.8, 1013.69
21HHZ, 遗落的补给物资, 361.16, 1017.52
21HHZ, 遗落的补给物资, 385.26, 893.05
21HHZ, 遗落的补给物资, 379.6, 854.79
21HHZ, 遗落的补给物资, 386.71, 849.32
21HHZ, 遗落的补给物资, 394.89, 856.29
21HHZ, 遗落的补给物资, 370.95, 831.95
21HHZ, 遗落的补给物资, 462.8, 887.87
21HHZ, 遗落的补给物资, 453.58, 925.73
21HHZ, 遗落的补给物资, 445.41, 960.07
21HHZ, 遗落的补给物资, 425.81, 961.83
21HHZ, 遗落的补给物资, 406.46, 849.24
21HHZ, 遗落的补给物资, 439.23, 855.55
21HHZ, 遗落的补给物资, 366.24, 718.84
21HHZ, 遗落的补给物资, 383.9, 720.67
21HHZ, 遗落的补给物资, 416.42, 687.47
21HHZ, 遗落的补给物资, 412.53, 658.13
21HHZ, 遗落的补给物资, 418.43, 637.96
21HHZ, 遗落的补给物资, 444.37, 670.13
21HHZ, 遗落的补给物资, 475.18, 601.25
21HHZ, 遗落的补给物资, 484.97, 669.04
21HHZ, 遗落的补给物资, 507.88, 635.74
21HHZ, 遗落的补给物资, 517.76, 692.17
21HHZ, 遗落的补给物资, 562.41, 587.29
21HHZ, 遗落的补给物资, 586.76, 600.34
21HHZ, 遗落的补给物资, 583.0, 617.89
21HHZ, 遗落的补给物资, 586.88, 563.76
21HHZ, 遗落的补给物资, 577.97, 547.98
21HHZ, 遗落的补给物资, 583.75, 543.7
21HHZ, 遗落的补给物资, 579.54, 522.2
21HHZ, 遗落的补给物资, 587.9, 479.47
21HHZ, 遗落的补给物资, 582.68, 481.83
21HHZ, 遗落的补给物资, 579.69, 465.99
21HHZ, 遗落的补给物资, 1480.99, 534.88
21HHZ, 遗落的补给物资, 1503.18, 533.98
21HHZ, 遗落的补给物资, 1507.61, 585.84
21HHZ, 遗落的补给物资, 1489.04, 581.73
21HHZ, 遗落的补给物资, 1545.3, 582.59
21HHZ, 遗落的补给物资, 1560.89, 617.45
21HHZ, 遗落的补给物资, 1589.67, 619.37
21HHZ, 遗落的补给物资, 1597.81, 653.41
21HHZ, 遗落的补给物资, 1614.25, 660.99
21HHZ, 遗落的补给物资, 1598.34, 677.58
21HHZ, 遗落的补给物资, 1628.63, 541.36
21HHZ, 遗落的补给物资, 1647.9, 591.37
21HHZ, 遗落的补给物资, 1691.07, 604.26
21HHZ, 遗落的补给物资, 1713.82, 641.01
21HHZ, 遗落的补给物资, 1691.11, 649.82
21HHZ, 遗落的补给物资, 1687.38, 632.86
21HHZ, 遗落的补给物资, 1711.61, 685.52
21HHZ, 遗落的补给物资, 1691.17, 685.43
21HHZ, 遗落的补给物资, 1645.74, 738.01
21HHZ, 遗落的补给物资, 1695.58, 723.16
21HHZ, 遗落的补给物资, 1420.69, 961.3
21HHZ, 遗落的补给物资, 1412.17, 975.12
21HHZ, 遗落的补给物资, 1359.16, 949.42
21HHZ, 遗落的补给物资, 1386.05, 1012.24
21HHZ, 遗落的补给物资, 1350.13, 1055.66
21HHZ, 遗落的补给物资, 1280.15, 1035.47
21HHZ, 遗落的补给物资, 1231.96, 1081.15
21HHZ, 遗落的补给物资, 1276.84, 1079.81
21HHZ, 遗落的补给物资, 1249.6, 1108.55
21HHZ, 遗落的补给物资, 1332.75, 1103.75
21HHZ, 遗落的补给物资, 1468.0, 1218.69
21HHZ, 遗落的补给物资, 1472.23, 1187.65
21HHZ, 遗落的补给物资, 1458.47, 1224.09
21HHZ, 遗落的补给物资, 1471.32, 1275.42
21HHZ, 遗落的补给物资, 1491.63, 1187.59
21HHZ, 遗落的补给物资, 1363.63, 1258.41
21HHZ, 遗落的补给物资, 1359.11, 1306.18
21HHZ, 遗落的补给物资, 1366.2, 1133.98
21HHZ, 遗落的补给物资, 1387.25, 1248.46
21HHZ, 遗落的补给物资, 1422.54, 1278.55
21HHZ, 遗落的补给物资, 1724.65, 1425.42
21HHZ, 遗落的补给物资, 1719.72, 1446.11
21HHZ, 遗落的补给物资, 1671.3, 1428.64
21HHZ, 遗落的补给物资, 1660.64, 1394.3
21HHZ, 遗落的补给物资, 1622.43, 1407.01
21HHZ, 遗落的补给物资, 1640.97, 1499.37
21HHZ, 遗落的补给物资, 1513.91, 1507.23
21HHZ, 遗落的补给物资, 1526.2, 1392.81
21HHZ, 遗落的补给物资, 1513.27, 1566.91
21HHZ, 遗落的补给物资, 1450.64, 1498.65
21HHZ, 遗落的补给物资, 1489.6, 1586.8
21HHZ, 遗落的补给物资, 1445.39, 1570.97
21HHZ, 遗落的补给物资, 1473.88, 1625.96
21HHZ, 遗落的补给物资, 1462.27, 1658.97
21HHZ, 遗落的补给物资, 1448.56, 1718.86
21HHZ, 遗落的补给物资, 1433.74, 1682.78
21HHZ, 遗落的补给物资, 1405.23, 1731.4
21HHZ, 遗落的补给物资, 1373.4, 1716.03
21HHZ, 遗落的补给物资, 1393.3, 1697.4
21HHZ, 一袋面粉, 316.85, 1165.99
21HHZ, 一袋面粉, 314.34, 1115.1
21HHZ, 一袋面粉, 321.68, 1080.89
21HHZ, 一袋面粉, 324.6, 1038.47
21HHZ, 一袋面粉, 355.55, 994.98
21HHZ, 一袋面粉, 368.6, 960.68
21HHZ, 一袋面粉, 386.95, 912.25
21HHZ, 一袋面粉, 405.44, 871.59
21HHZ, 一袋面粉, 379.59, 843.15
21HHZ, 一袋面粉, 337.07, 989.74
21HHZ, 一袋调料, 372.27, 1184.79
21HHZ, 一袋调料, 339.76, 1166.56
21HHZ, 一袋调料, 328.54, 1086.26
21HHZ, 一袋调料, 347.83, 1040.29
21HHZ, 一袋调料, 379.05, 942.24
21HHZ, 一袋调料, 410.17, 881.64
21HHZ, 一袋调料, 372.06, 844.3
21HHZ, 一袋调料, 369.99, 824.88
21HHZ, 一袋调料, 352.82, 1175.62
21HHZ, 一袋调料, 336.13, 1059.09
